Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Snippy_mqc-generalstats-snippy-VariantTotal
SRR9613403_1	8.0709	0.945011	1882528506.0	0.525436	92.64968752546416	1.9600216059697835	82.87532608191741	52.0	76.0	20.0	14149793.0	
SRR9613403_2							81.19857106739627	52.0	76.0	20.0	14149793.0	
SRR9613403_trimmed_1							83.55730735636268	52.0	75.98764468156078	10.0	13109739.0	
SRR9613403_trimmed_2							83.27151400311493	52.0	75.96588627736982	10.0	13109739.0	
SRR9613404_1	10.9953	0.944074	1461193915.0	0.511472	89.1118632110507	3.5211364948242925	80.80567986428487	51.0	76.0	30.0	11430514.0	
SRR9613404_2							79.11101533006422	51.0	76.0	20.0	11430514.0	
SRR9613404_trimmed_1							80.77329204347285	51.0	75.985664264402	20.0	10185944.0	
SRR9613404_trimmed_2							80.78416608915522	50.0	75.96424553286371	10.0	10185944.0	
SRR9613405_1	13.056899999999999	0.937284	1332298568.0	0.51351	90.2206849763364	2.8788236384573085	80.93265355686725	51.0	76.0	30.0	10368037.0	
SRR9613405_2							79.10706522843735	51.0	76.0	30.0	10368037.0	
SRR9613405_trimmed_1							81.30285570218417	51.0	75.98489766107191	30.0	9354114.0	
SRR9613405_trimmed_2							81.02793776923008	51.0	75.9744733707543	30.0	9354114.0	
multiqc												0
