gene_id,gene_name,SRR9613403,SRR9613404,SRR9613405,mean_cpm
gene-b2911,ssrS,108279.8049,135446.5256,201746.4399,148490.9235
gene-b3556,cspA,23334.27985,24637.44706,32122.47089,26698.06594
gene-b3340,fusA,17712.28356,18874.85892,16844.91965,17810.68738
gene-b2621,ssrA,14149.51141,15039.24249,15069.22206,14752.65865
gene-b3123,rnpB,13611.70363,11121.82773,14252.66208,12995.39781
gene-b3320,rplC,12134.62506,12648.14297,9945.008168,11575.9254
gene-b3317,rplB,12034.19874,12074.31222,9736.041176,11281.51738
gene-b3985,rplJ,11412.62159,11683.54404,9977.709994,11024.62521
gene-b3295,rpoA,10787.53134,11398.33711,9119.113099,10434.99385
gene-b3984,rplA,10020.58437,9689.166382,8297.160803,9335.637184
