# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/00_rawdata/fastq_data/reference/NZ_CP076404.1.gtf" "-o" "/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/03_annotation/counts/raw_counts.txt" "-T" "8" "-p" "-B" "-t" "CDS" "-g" "gene_id" "/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/01_allignment/alignment/bam/SRR9613403.bam" "/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/01_allignment/alignment/bam/SRR9613404.bam" "/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/01_allignment/alignment/bam/SRR9613405.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/01_allignment/alignment/bam/SRR9613403.bam	/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/01_allignment/alignment/bam/SRR9613404.bam	/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/01_allignment/alignment/bam/SRR9613405.bam
KJY95_RS00005	NZ_CP076404.1	190	252	+	63	584	535	550
KJY95_RS00010	NZ_CP076404.1	337	2796	+	2460	9543	8380	6300
KJY95_RS00015	NZ_CP076404.1	2801	3730	+	930	1622	1343	953
KJY95_RS00020	NZ_CP076404.1	3734	5017	+	1284	1779	1446	1038
KJY95_RS00025	NZ_CP076404.1	5234	5527	+	294	485	456	323
KJY95_RS00030	NZ_CP076404.1	5686	6459	-	774	1071	975	859
KJY95_RS00035	NZ_CP076404.1	6532	7959	-	1428	1092	1279	973
KJY95_RS00040	NZ_CP076404.1	8238	9188	+	951	15275	18818	17086
KJY95_RS00045	NZ_CP076404.1	9306	9890	+	585	2681	2988	2214
KJY95_RS00050	NZ_CP076404.1	9931	10494	-	564	2124	2106	1679
KJY95_RS00055	NZ_CP076404.1	10646	11356	-	711	431	410	330
KJY95_RS00060	NZ_CP076404.1	11385	11786	-	402	102	131	94
KJY95_RS00065	NZ_CP076404.1	12163	14076	+	1914	2689	3023	3134
KJY95_RS00070	NZ_CP076404.1	14168	15295	+	1128	945	985	857
KJY95_RS00075	NZ_CP076404.1	15445	16554	+	1110	178	167	131
KJY95_RS00080	NZ_CP076404.1	16754	16903	-	150	236	210	153
KJY95_RS00085	NZ_CP076404.1	17489	18652	+	1164	1513	1948	1374
KJY95_RS00090	NZ_CP076404.1	18721	19617	+	897	1406	1628	1336
KJY95_RS00095	NZ_CP076404.1	19661	19795	-	135	50	87	67
KJY95_RS00100	NZ_CP076404.1;NZ_CP076404.1	19814;20259	20259;20508	-;-	695	440	539	377
KJY95_RS00105	NZ_CP076404.1	20818	21078	-	261	33811	38025	36903
KJY95_RS00110	NZ_CP076404.1	21181	21396	+	216	4085	4743	5547
KJY95_RS00115	NZ_CP076404.1	21407	22345	+	939	6126	6532	4950
KJY95_RS00120	NZ_CP076404.1	22391	25204	+	2814	20594	22394	15466
KJY95_RS00125	NZ_CP076404.1	25207	25698	+	492	2313	2823	1784
KJY95_RS00130	NZ_CP076404.1	25826	26272	+	447	1203	1315	1008
KJY95_RS00135	NZ_CP076404.1	26277	27224	+	948	2011	2222	1575
KJY95_RS00140	NZ_CP076404.1	27293	28204	+	912	460	509	377
KJY95_RS00145	NZ_CP076404.1	28374	29192	+	819	499	638	588
KJY95_RS00150	NZ_CP076404.1	29651	30796	+	1146	1612	1741	1359
KJY95_RS00155	NZ_CP076404.1	30817	34035	+	3219	1765	1975	1645
KJY95_RS00160	NZ_CP076404.1	34300	34692	+	393	256	309	343
KJY95_RS00165	NZ_CP076404.1	34784	35371	-	588	250	192	227
KJY95_RS00170	NZ_CP076404.1	35380	36162	-	783	113	119	114
KJY95_RS00175	NZ_CP076404.1	36274	37824	-	1551	451	440	511
KJY95_RS00180	NZ_CP076404.1	37901	39115	-	1215	666	629	477
KJY95_RS00185	NZ_CP076404.1	39247	40386	-	1140	1067	938	821
KJY95_RS00190	NZ_CP076404.1	40420	41931	-	1512	193	230	231
KJY95_RS00195	NZ_CP076404.1	42403	43170	+	768	105	83	129
KJY95_RS00200	NZ_CP076404.1	43188	44126	+	939	96	114	88
KJY95_RS00205	NZ_CP076404.1	44180	45463	+	1284	78	100	90
KJY95_RS00210	NZ_CP076404.1	45463	45747	+	285	16	8	27
KJY95_RS00215	NZ_CP076404.1	45807	47135	+	1329	135	133	174
KJY95_RS00220	NZ_CP076404.1	47246	47773	+	528	179	164	200
KJY95_RS00225	NZ_CP076404.1	47769	49628	+	1860	558	608	467
KJY95_RS00230	NZ_CP076404.1	49823	50299	+	477	1628	1650	1359
KJY95_RS00235	NZ_CP076404.1	50383	51222	-	840	1836	1752	1224
KJY95_RS00240	NZ_CP076404.1	51232	51606	-	375	685	749	526
KJY95_RS00245	NZ_CP076404.1	51612	52430	-	819	2416	2466	2113
KJY95_RS00250	NZ_CP076404.1	52430	53416	-	987	1249	1429	1083
KJY95_RS00255	NZ_CP076404.1	53419	54702	-	1284	3744	4541	4003
KJY95_RS00260	NZ_CP076404.1	54758	57109	-	2352	11047	12200	10661
KJY95_RS00265	NZ_CP076404.1	57364	58176	+	813	1246	1605	1230
KJY95_RS00270	NZ_CP076404.1	58474	59121	+	648	835	969	818
KJY95_RS00275	NZ_CP076404.1	59121	59276	+	156	91	134	112
KJY95_RS00280	NZ_CP076404.1	59299	59474	-	176	147	164	132
KJY95_RS00285	NZ_CP076404.1	59690	60346	-	657	1258	1236	931
KJY95_RS00290	NZ_CP076404.1	60361	63264	-	2904	4857	4728	3466
KJY95_RS00295	NZ_CP076404.1	63432	65780	-	2349	1692	1609	1226
KJY95_RS00300	NZ_CP076404.1	65858	66550	-	693	162	125	123
KJY95_RS00305	NZ_CP076404.1	66838	68337	-	1500	456	341	282
KJY95_RS00310	NZ_CP076404.1	68351	70048	-	1698	495	461	299
KJY95_RS00315	NZ_CP076404.1	70387	71262	+	876	2662	3550	3227
KJY95_RS00320	NZ_CP076404.1	71351	72112	+	762	2123	2532	1824
KJY95_RS00325	NZ_CP076404.1	72232	72927	-	696	885	957	802
KJY95_RS00330	NZ_CP076404.1	72914	74521	-	1608	426	475	315
KJY95_RS00335	NZ_CP076404.1	74500	75480	-	981	822	706	527
KJY95_RS00340	NZ_CP076404.1	75647	77299	-	1653	787	667	554
KJY95_RS00345	NZ_CP076404.1	77388	77516	+	129	373	354	495
KJY95_RS00350	NZ_CP076404.1	77621	78796	+	1176	745	947	737
KJY95_RS00355	NZ_CP076404.1	78851	79453	-	603	390	413	266
KJY95_RS00360	NZ_CP076404.1	79467	80864	-	1398	496	372	308
KJY95_RS00365	NZ_CP076404.1	80870	81958	-	1089	500	339	378
KJY95_RS00370	NZ_CP076404.1	81961	83529	-	1569	1215	1062	1024
KJY95_RS00375	NZ_CP076404.1	83625	83708	-	84	68	51	42
KJY95_RS00380	NZ_CP076404.1	84368	85309	+	942	707	743	684
KJY95_RS00385	NZ_CP076404.1	85470	85511	-	42	23	23	25
KJY95_RS00390	NZ_CP076404.1	85630	87351	+	1722	609	643	536
KJY95_RS00395	NZ_CP076404.1	87357	87845	+	489	157	139	110
KJY95_RS00400	NZ_CP076404.1	87860	87943	+	84	24	32	32
KJY95_RS00405	NZ_CP076404.1	88028	89029	+	1002	2466	2873	2666
KJY95_RS00410	NZ_CP076404.1	89634	90089	+	456	4062	4236	3595
KJY95_RS00415	NZ_CP076404.1	90094	91032	+	939	4745	4660	4069
KJY95_RS00420	NZ_CP076404.1	91032	91394	+	363	1293	1367	1064
KJY95_RS00425	NZ_CP076404.1	91413	93176	+	1764	2826	2715	2384
KJY95_RS00430	NZ_CP076404.1	93166	94650	+	1485	633	939	736
KJY95_RS00435	NZ_CP076404.1	94650	96005	+	1356	723	755	664
KJY95_RS00440	NZ_CP076404.1	96002	97081	+	1080	418	563	443
KJY95_RS00445	NZ_CP076404.1	97087	98400	+	1314	514	818	561
KJY95_RS00450	NZ_CP076404.1	98403	99644	+	1242	785	954	740
KJY95_RS00455	NZ_CP076404.1	99644	100708	+	1065	1438	1716	1271
KJY95_RS00460	NZ_CP076404.1	100765	102237	+	1473	1795	2197	1536
KJY95_RS00465	NZ_CP076404.1	102233	103150	+	918	2002	2512	1819
KJY95_RS00470	NZ_CP076404.1	103155	103982	+	828	1843	2336	1576
KJY95_RS00475	NZ_CP076404.1	103982	105241	+	1260	2615	3163	2239
KJY95_RS00480	NZ_CP076404.1	105305	106453	+	1149	5266	6493	4787
KJY95_RS00485	NZ_CP076404.1	106557	107471	+	915	61498	64484	49374
KJY95_RS00490	NZ_CP076404.1	107705	108214	+	510	2901	3643	3148
KJY95_RS00495	NZ_CP076404.1	108279	110981	+	2703	5548	7361	6369
KJY95_RS00500	NZ_CP076404.1	111044	111430	+	387	264	343	275
KJY95_RS00505	NZ_CP076404.1	111652	111846	-	195	356	396	287
KJY95_RS00510	NZ_CP076404.1	111859	112599	-	741	1476	1490	1235
KJY95_RS00515	NZ_CP076404.1	112602	113219	-	618	1102	1024	1027
KJY95_RS00520	NZ_CP076404.1	113244	113285	+	42	97	77	98
KJY95_RS00525	NZ_CP076404.1	113444	114484	+	1041	3980	3915	2983
KJY95_RS00530	NZ_CP076404.1	114525	115724	-	1200	813	776	580
KJY95_RS00535	NZ_CP076404.1	115717	117099	-	1383	927	857	693
KJY95_RS00540	NZ_CP076404.1	117112	117549	-	438	132	126	129
KJY95_RS00545	NZ_CP076404.1	117755	118645	-	891	1097	1132	1082
KJY95_RS00550	NZ_CP076404.1	118733	119281	+	549	341	499	336
KJY95_RS00555	NZ_CP076404.1	119281	120132	+	852	404	447	423
